"id","camping","plaats","provincie","officiele_organisatie","officiele_profiel_url","campingkiezer_profiel","claim_url"
"ck0653","Vakantiepark Capfun Vlinderloo","Enschede","Overijssel","Capfun","https://www.capfun.nl/camping-frankrijk-overijssel-vlinderloo-NL.html","https://camping-kiezer.nl/camping/vakantiepark-capfun-vlinderloo/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-capfun-vlinderloo"
"ck0936","Achterhoeks Goed","Vragender","Gelderland","SVR","https://svr.nl/object/dd2bad99-9240-4f32-9af6-56ad1e0cbc5e","https://camping-kiezer.nl/camping/achterhoeks-goed/","https://camping-kiezer.nl/claim-uw-camping/?profiel=achterhoeks-goed"
"ck1090","Bij ons achter","Heeswijk-Dinther","","SVR","https://svr.nl/object/a9f1f2dd-fbd1-4066-a6df-7e436ee13288","https://camping-kiezer.nl/camping/bij-ons-achter/","https://camping-kiezer.nl/claim-uw-camping/?profiel=bij-ons-achter"
"ck4162","Boerderij De Zuiderkrib","Kraggenburg","Flevoland","SVR","https://svr.nl/object/06b78c14-043b-40e6-baaa-2263e1e10718","https://camping-kiezer.nl/camping/boerderij-de-zuiderkrib/","https://camping-kiezer.nl/claim-uw-camping/?profiel=boerderij-de-zuiderkrib"
"ck4145","Boerennatuurcamping By Age","Tersoal","Friesland","SVR","https://svr.nl/object/bf816bb6-eb41-46d0-8025-18b5fc2df759","https://camping-kiezer.nl/camping/boerennatuurcamping-by-age/","https://camping-kiezer.nl/claim-uw-camping/?profiel=boerennatuurcamping-by-age"
"ck0200","Bospark Aagjeshoeve","Schoonoord","Drenthe","SVR","https://svr.nl/object/77c9a2a0-0a50-47ff-a7c1-5a27c5f96030","https://camping-kiezer.nl/camping/bospark-aagjeshoeve/","https://camping-kiezer.nl/claim-uw-camping/?profiel=bospark-aagjeshoeve"
"ck4141","Breehout camping","Someren","Noord-Brabant","SVR","https://svr.nl/object/7c6ec3f0-8cd5-4c43-9999-696c2fe12614","https://camping-kiezer.nl/camping/breehout-camping/","https://camping-kiezer.nl/claim-uw-camping/?profiel=breehout-camping"
"ck1187","Buitengoed Het Achterdiep","Ter Apel","Groningen","SVR","https://svr.nl/object/187625e1-c584-480d-bd2f-1bbd6a646065","https://camping-kiezer.nl/camping/buitengoed-het-achterdiep/","https://camping-kiezer.nl/claim-uw-camping/?profiel=buitengoed-het-achterdiep"
"ck4166","Camper-/Kampeerplek Deldenerbroek","Deldenerbroek","Overijssel","SVR","https://svr.nl/object/1603bdcb-f74d-4935-ab0b-f386139de050","https://camping-kiezer.nl/camping/camper-kampeerplek-deldenerbroek/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camper-kampeerplek-deldenerbroek"
"ck4168","Camperplaats Ploen","Luttenberg","Overijssel","SVR","https://svr.nl/object/148352c7-2755-4092-a4cb-11e5c8c21455","https://camping-kiezer.nl/camping/camperplaats-ploen/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camperplaats-ploen"
"ck4152","Camperweide Dalvoorde","Balkbrug","Overijssel","SVR","https://svr.nl/object/8c5ef17e-780e-4153-8a68-3b1bc6b1f6d9","https://camping-kiezer.nl/camping/camperweide-dalvoorde/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camperweide-dalvoorde"
